date,city,state,dead,injured,total,description
7/31/22,Decatur,Illinois,1,3,4,"Four teenagers, one of whom died, were shot at the end of a graduation party at a brewpub."
7/31/22,Hartford,Connecticut,0,4,4,"Four people, including a teenager, were shot in the Clay Arsenal neighborhood."
7/31/22,Indianapolis,Indiana,0,4,4,Four people were shot after a fight in the Broad Ripple neighborhood during the early morning.
7/31/22,Detroit,Michigan,1,7,8,"One person was killed, and seven others were injured during a shooting in the northwest part of the city in the early morning."
7/31/22,Orlando,Florida,0,7,7,Seven people were shot when someone opened fire into a crowd during a fight in the Central Business District during the early morning.
7/31/22,South Bend,Indiana,0,4,4,A person shot four people in two different locations who were later transferred to hospitals. No motive has been established.
7/30/22,Wheeling,Illinois,0,5,5,"Following an argument at a bar earlier in the morning between two groups, one of the groups opened fire at the residence the other group was at, leaving five injured."
7/30/22,Girard,Georgia,1,4,5,"Multiple people opened fire during a party at an unlicensed bar, leaving one dead and four others injured."
7/30/22,Monroe,Louisiana,1,3,4,"A teenager was killed, and three other people were injured when multiple people opened fire on a group outside an apartment."
7/29/22,Cleveland,Ohio,1,3,4,"One person was killed, and three others were injured in a shooting at an intersection between the Corlett and Lee-Miles neighborhoods."
7/29/22,Albuquerque,New Mexico,1,4,5,"A teenager was killed, and four other people were hurt during a shooting in the northwest part of the city."
7/29/22,Goulds,Florida,0,4,4,A shooting at an apartment complex injured four teenagers. Two of the victims were airlifted to a nearby children's hospital.
7/29/22,Baltimore,Maryland,2,2,4,"An argument in the Walbrook neighborhood led to at least one person opening fire, killing two and injuring two others. The suspects carjacked a vehicle in an attempt to escape before crashing the car into another vehicle."
7/27/22,Farmers Loop,Alaska,4,0,4,"A teenager killed three of his siblings and then himself, while the parents and a fifth sibling were not at home at the time of the shooting."
7/27/22,Hahnville,Louisiana,1,3,4,"Four people were shot in a residential neighborhood, one of whom died."
7/26/22,Macon,Georgia,2,2,4,"Four people, including three teenagers, were shot outside a townhome in the northwest part of the city. One teenager and one adult died."
7/25/22,New Orleans,Louisiana,0,4,4,Four men walking along the road in the Faubourg Lafayette neighborhood were shot shortly after midnight.
7/24/22,Dallas,Texas,1,3,4,"An argument among a group of people led to a man opening fire in the city's Northwest side, killing another man, and injuring two teens before being shot by one of the victims."
7/24/22,Harmony Township,Ohio,3,1,4,"When concerned family members checked on a man at his trailer home, they were met with gunfire, with the man fatally shooting his mother and injuring another woman. Responding police entered the trailer and were fired upon, leaving one deputy dead and another suffering a non-gunshot injury to the leg. The man killed himself, and the trailer home burned down."
7/24/22,Los Angeles,California,2,5,7,Two people were killed and five others injured during a shooting at a car show in Peck Park in the San Pedro neighborhood.
7/24/22,Fort Worth,Texas,1,3,4,One person was killed and three others injured after a shooting in the Meadowbrook neighborhood.
7/24/22,Atlanta,Georgia,0,8,8,"Eight people, including at least two teenagers, were shot during a drive-by shooting at a Shell gas station in the Loring Heights neighborhood."
7/24/22,Bennettsville,South Carolina,1,3,4,One person was killed and three others injured during a shooting at a nightclub.
7/23/22,Richmond,Virginia,0,5,5,Five men were shot in the McGuire Manor neighborhood shortly before midnight.
7/23/22,Chicago,Illinois,0,4,4,"Shortly before midnight, a man opened fire on a group of people in the Back of the Yards neighborhood, leaving four injured."
7/23/22,El Paso,Texas,0,4,4,Four people were shot during a large party at a home in the east side during the early morning.
7/23/22,Chicago,Illinois,0,4,4,"A man got out of a black truck and opened fire with a rifle on a group of people in the East Garfield Park neighborhood, leaving four people injured."
7/23/22,Renton,Washington,1,6,7,"Seven people were shot, one fatally, shortly after midnight behind a concert hall."
7/23/22,Pinebluff,North Carolina,1,4,5,"Five people were shot on a road during the early morning, one of whom died."
7/23/22,Kalamazoo,Michigan,0,9,9,Nine people were shot during a party in the Northside neighborhood.
7/23/22,Rockford,Illinois,2,2,4,A shooting during a gathering at a closed park left two dead and two others injured.
7/22/22,Maquoketa,Iowa,4,0,4,"Maquoketa Caves State Park shooting: A man shot and killed three members of a family, including a child, as they were in their tent in Maquoketa Caves State Park before committing suicide in an apparent random attack."
7/21/22,Los Angeles,California,0,4,4,Two men shot four people standing outside a CVS in the Historic Core.
7/19/22,Lincoln,Nebraska,0,4,4,"Four people, including a teenager, were shot in the Hartley neighborhood."
7/18/22,Atlanta,Georgia,0,5,5,"Multiple people opened fire during a gathering in the Thomasville Heights neighborhood in the city's southeast side, wounding five, including at least one teenager."
7/17/22,Beech Grove,Indiana,1,3,4,"Four people were shot, one fatally, at a park."
7/17/22,Las Vegas,Nevada,2,2,4,An off-duty North Las Vegas police officer fatally shot his daughter and wounded his son and wife before committing suicide.
7/17/22,Newark,New Jersey,0,4,4,Four teenagers were shot in the Broadway neighborhood.
7/17/22,Denver,Colorado,0,7,7,"Seven people were injured in downtown Denver by Denver Police who were ""going after a suspect  claimed to have seen with a gun in a crowded area of the city's downtown."" Six of the seven injured were bystanders. An independent monitor from outside the police department has been setup to investigate the shooting."
7/17/22,Greenwood,Indiana,4,2,6,"Greenwood Park Mall shooting: A man shot five people, three fatally, inside the food court of Greenwood Park Mall before being fatally shot by an armed civilian."
7/17/22,Grand Rapids,Michigan,0,4,4,Four people were injured in a shooting outside a bar in the Downtown area of Grand Rapids.
7/17/22,Milledgeville,Georgia,0,5,5,Five people were shot during a block party.
7/17/22,Vancouver,Washington,2,2,4,"Two people were killed, and two others injured during a shooting at a crowded house party in the Harney Heights neighborhood."
7/17/22,New York City,New York,0,4,4,"Four people, including a teenager, were shot in the Brownsville neighborhood of Brooklyn."
7/17/22,Mount Vernon,Washington,0,5,5,"Five people, including three teenagers, were shot after a fight escalated inside a Walmart."
7/16/22,North Charleston,South Carolina,0,4,4,Four people were shot in the parking lot of a nightclub during the early morning hours.
7/16/22,Monroe,Louisiana,0,5,5,"Two teenage brothers opened fire during a memorial, injuring five."
7/16/22,Philadelphia,Pennsylvania,0,4,4,"Four people, including a teenager, were shot in the Feltonville neighborhood of North Philadelphia."
7/16/22,Washington D.C.,Washington D.C.,1,3,4,"Four people were shot, one fatally, in the Edgewood neighborhood."
7/16/22,Houston,Texas,4,0,4,Four people were fatally shot at an apartment complex following an argument.
7/16/22,Columbus,Ohio,2,2,4,"Two were killed, and two others were injured in a shooting inside a bar in the Hilltop neighborhood."
7/14/22,Philadelphia,Pennsylvania,0,4,4,Four teenagers were shot near a home in the Poplar neighborhood of North Philadelphia.
7/14/22,Chicago,Illinois,0,4,4,Four people were injured in a drive-by shooting in the West Garfield Park neighborhood.
7/13/22,Philadelphia,Pennsylvania,0,4,4,"Four people, including a toddler, were shot in the Mill Creek neighborhood of West Philadelphia."
7/13/22,Minneapolis,Minnesota,0,4,4,Four people where injured by gunfire in the Folwell neighborhood in the city's north side after an argument ended with shots being fired.
7/13/22,Indianapolis,Indiana,1,3,4,"Four teenagers were shot at an apartment complex in the Eagledale neighborhood in the city's west side, with one dying."
7/12/22,Boston,Massachusetts,0,4,4,Four people were shot in the Lower Roxbury neighborhood.
7/11/22,Memphis,Tennessee,0,4,4,Four people were shot during a shootout at an apartment complex in the Whitehaven neighborhood.
7/11/22,Jackson,Mississippi,0,4,4,"An argument between two teenagers led to one of them opening fire, leaving four wounded, including the other teenager and a toddler."
7/11/22,Riverside,Santa Ana,2,3,5,"Two men robbed six 7-Eleven stores and a Yum-Yum Donuts at gunpoint across Southern California during the early morning hours on ""7-Eleven Day"". During the robberies, one of the men shot five people at four of the convenience stores, two of whom died. The man who opened fire is also accused of murdering a homeless man in the North Hills neighborhood of Los Angeles two days earlier."
7/10/22,Kansas City,Missouri,1,5,6,A shootout between several gunmen and three off-duty police officers working security at a bar just outside it left one dead and five others injured.
7/10/22,New York City,New York,0,5,5,Five people were shot while on the Coney Island boardwalk in Brooklyn.
7/10/22,Chicago,Illinois,0,4,4,Four people were shot near a bar in the Near North Side neighborhood during the early morning hours.
7/10/22,Houghton Lake,Michigan,4,0,4,"A man shot his wife, mother-in-law, and teenage son before fatally shooting himself at their home."
7/10/22,Crest Hill,Illinois,1,4,5,"While officers dispersed a crowd, a shooting during an informal gathering in a parking lot shortly before midnight left one dead and four others injured."
